,strategy
1992-06-01,1.0976369196872666
1992-06-02,1.0782232831355052
1992-06-03,1.0836126963022943
1992-06-04,1.076771755184014
1992-06-05,1.0779875603083615
1992-06-08,1.0773793517127301
1992-06-09,1.0623032760238906
1992-06-10,1.0507594586513394
1992-06-11,1.057542183329332
1992-06-12,1.0603257271478193
1992-06-15,1.0627875069512918
1992-06-16,1.0533061589350823
1992-06-17,1.0260270607124484
1992-06-18,1.0219240474597233
1992-06-19,1.0303437276710035
1992-06-22,1.0292862512919532
1992-06-23,1.031653758678529
1992-06-24,1.0306574817608591
1992-06-25,1.027057685057695
1992-06-26,1.0286762000473335
1992-06-29,1.0549353644400599
1992-06-30,1.0562761224612083
1992-07-01,1.079316627389047
1992-07-02,1.072471447384618
1992-07-06,1.084143852695037
1992-07-07,1.0609475704880447
1992-07-08,1.0657775854987883
1992-07-09,1.083545366747754
1992-07-10,1.0855248049482444
1992-07-13,1.0869556422039532
1992-07-14,1.102609438544279
1992-07-15,1.0990690874017888
1992-07-16,1.1021239385690424
1992-07-17,1.0880135067790357
1992-07-20,1.0750888635736788
1992-07-21,1.075121849522986
1992-07-22,1.0557252097464527
1992-07-23,1.0624046723130114
1992-07-24,1.0594646666276863
1992-07-27,1.059074961169836
1992-07-28,1.0923437452276796
1992-07-29,1.1225571824747862
1992-07-30,1.1329248367984108
1992-07-31,1.1411038156520947
1992-08-03,1.1404300595143766
1992-08-04,1.1361123962888944
1992-08-05,1.12288375806894
1992-08-06,1.1135210464518435
1992-08-07,1.1041292480327833
1992-08-10,1.1071726703073326
1992-08-11,1.1044186734564718
1992-08-12,1.0989665291440152
1992-08-13,1.0986979256110891
1992-08-14,1.1088900564705495
1992-08-17,1.1131419895220265
1992-08-18,1.1162364426561415
1992-08-19,1.0979550072212467
1992-08-20,1.0983061030851284
1992-08-21,1.08038994128819
1992-08-24,1.0603683318821262
1992-08-25,1.0640284743907966
1992-08-26,1.0724479632308659
1992-08-27,1.0725298129755372
1992-08-28,1.0801321953919492
1992-08-31,1.081448725761773
1992-09-01,1.0885608898658785
1992-09-02,1.1003308777760414
1992-09-03,1.10029502442587
1992-09-04,1.0942051297082092
1992-09-08,1.0767416800699994
1992-09-09,1.08806534987887
1992-09-10,1.1103214130288188
1992-09-11,1.1078019631936957
1992-09-14,1.1487264968444413
1992-09-15,1.111418609023797
1992-09-16,1.112296449716865
1992-09-17,1.1123267252484335
1992-09-18,1.1287564112520394
1992-09-21,1.123992853537239
1992-09-22,1.0927592646824686
1992-09-23,1.0944623583565325
1992-09-24,1.1004219043384458
1992-09-25,1.074961283567632
1992-09-28,1.0863406608161588
1992-09-29,1.0871847645157273
1992-09-30,1.0971741699124464
1992-10-01,1.0844005364697544
1992-10-02,1.059823678811358
1992-10-05,1.0496188968169926
1992-10-06,1.0485361129962742
