,spxl_simulation
1936-01-16,468.3636450549428
1936-01-17,466.30396221364646
1936-01-20,442.885181957998
1936-01-21,437.9536595483813
1936-01-22,466.22254217676465
1936-01-23,481.4508493398153
1936-01-24,475.20130586344675
1936-01-27,489.59258426203445
1936-01-28,491.6725995034429
1936-01-29,506.39242679378106
1936-01-30,498.8566463346928
1936-01-31,527.6358686500407
1936-02-01,527.3720507157158
1936-02-03,541.7236122608507
1936-02-04,539.4508428835385
1936-02-05,533.8176083895044
1936-02-06,536.0249704314234
1936-02-07,528.1808968537216
1936-02-10,540.3313690818995
1936-02-11,562.7765857647938
1936-02-13,573.1400675040338
1936-02-14,566.1084544110332
1936-02-17,556.8178255369916
1936-02-18,575.126827801578
1936-02-19,563.3982101822244
1936-02-20,589.9291002726097
1936-02-21,585.1446244357439
1936-02-24,568.5491696825857
1936-02-25,537.1767021618505
1936-02-26,529.3320835535498
1936-02-27,566.9357411659663
1936-02-28,556.4926904507554
1936-02-29,561.1587056941169
1936-03-01,560.8781263412699
1936-03-02,580.44783197537
1936-03-03,605.1828688519777
1936-03-04,610.0063970283386
1936-03-05,612.4185804377687
1936-03-06,619.7233677358165
1936-03-09,547.0553125833745
1936-03-10,571.9165452114922
1936-03-11,589.3654799227446
1936-03-12,539.4357710462377
1936-03-13,514.7924733270166
1936-03-16,550.5613641142696
1936-03-17,590.2158616199432
1936-03-18,583.0714996608102
1936-03-19,606.5905832646076
1936-03-20,604.1494322831228
1936-03-23,605.3301605741945
1936-03-24,595.6526504083403
1936-03-25,611.1466408741172
1936-03-26,605.0510086392667
1936-03-27,577.2867351481387
1936-03-30,576.0948645076185
1936-03-31,593.7475204400596
1936-04-01,625.6609913086718
1936-04-02,644.1708194403013
1936-04-03,635.3263435662685
1936-04-06,665.257178038448
1936-04-07,654.936242452692
1936-04-08,656.1832071420738
1936-04-09,649.7819154680769
1936-04-13,653.5556129693244
1936-04-14,614.112485872801
1936-04-15,632.3769805722959
1936-04-16,623.6490500195097
1936-04-17,612.5386373693773
1936-04-20,554.099661485981
1936-04-21,551.8033154714586
1936-04-22,580.1271295818515
1936-04-23,527.3649110952732
1936-04-24,531.7383573355869
1936-04-27,478.6903798729844
1936-04-28,476.6136723837596
1936-04-29,434.54030956571074
1936-04-30,461.41652403094014
1936-05-01,471.21986078787853
1936-05-04,466.10475779153904
1936-05-05,486.32206279193326
1936-05-06,502.9525695511042
1936-05-07,475.266354171467
1936-05-08,473.19863136402034
1936-05-11,469.0943857501873
1936-05-12,469.07547364451676
1936-05-13,480.22502595951363
1936-05-14,513.2060963843361
1936-05-15,513.1854058618732
1936-05-18,502.3910547489018
1936-05-19,466.2581240080015
1936-05-20,480.37856177912704
1936-05-21,475.2086025819797
1936-05-22,490.52975037040505
